股票代码,预测收益率前25%,预测收益率不是前25%,实际收益率,,
index,top_ratio_code,tail_ratio_code,profit,错分数：185 +8 = 193,
2424,0,0.58,-0.189929086,,
600060,0,0.58,0.038350281,,
600115,0,0.58,0.108032149,,
603889,0,0.58,-0.014048242,,
49,0,0.59,-0.341437854,,
2843,0,0.59,-0.277574716,,
600199,0,0.59,-0.181133259,,
603898,0,0.59,-0.046133619,,
600558,0,0.6,-0.14323548,,
913,0,0.61,-0.03385444,,
300101,0,0.61,0.090265813,,
300435,0,0.61,-0.128785092,,
601579,0,0.61,-0.093043748,,
601899,0,0.61,0.178325782,,
876,0,0.62,-0.008664909,,
300471,0,0.62,-0.402279,,
600705,0,0.62,-0.084133495,,
559,0,0.63,-0.18056203,,
981,0,0.63,-0.051864623,,
600419,0,0.63,-0.161684214,,
600939,0,0.63,-0.273137835,,
603717,0,0.63,-0.241541966,,
59,0,0.64,-0.177418471,,
797,0,0.64,-0.182946152,,
2185,0,0.64,-0.023510185,,
300079,0,0.64,-0.240412504,,
591,0,0.65,-0.133572825,,
2444,0,0.65,-0.21282778,,
811,0,0.66,-0.270761692,,
2448,0,0.66,-0.120191225,,
2661,0,0.66,-0.039581592,,
300326,0,0.66,0.047943207,,
600520,0,0.66,0.16502562,,
600583,0,0.66,0.017553481,,
601015,0,0.66,-0.098951367,,
601107,0,0.66,-0.136730372,,
601689,0,0.66,-0.268141478,,
601800,0,0.66,-0.140470977,,
603788,0,0.66,-0.019216939,,
603991,0,0.66,-0.278966966,,
723,0,0.67,-0.215124865,,
2004,0,0.67,-0.204230463,,
2716,0,0.67,0.012869941,,
600035,0,0.67,-0.216540495,,
600075,0,0.67,-0.205072181,,
600593,0,0.67,0.264125806,,
601200,0,0.67,-0.195431975,,
601880,0,0.67,-0.130884882,,
603308,0,0.67,-0.01817689,,
300595,0.84,0.68,0.123924451,,
852,0,0.68,-0.310429425,,
2214,0,0.68,-0.124566142,,
300024,0,0.68,-0.073176468,,
300230,0,0.68,-0.201856105,,
600774,0,0.68,-0.067766439,,
752,0,0.69,-0.009586338,,
601198,0,0.69,-0.196244885,,
603199,0,0.69,-0.215418833,,
2686,0,0.7,-0.162805666,,
300576,0,0.7,-0.209193398,,
600405,0,0.7,-0.231200152,,
26,0,0.71,-0.092651463,,
878,0,0.71,-0.158513458,,
2111,0,0.71,-0.251661395,,
2414,0,0.71,-0.15216809,,
300583,0,0.71,-0.131746046,,
600159,0,0.71,-0.220768843,,
600251,0,0.71,-0.108112707,,
601117,0,0.71,0.043311197,,
601518,0,0.71,-0.101581916,,
603165,0,0.71,-0.260585904,,
668,0,0.72,-0.188313491,,
739,0,0.72,-0.104779601,,
2067,0,0.72,-0.12568444,,
2468,0,0.72,-0.074276331,,
2705,0,0.72,-0.184804423,,
423,0,0.73,-0.056369177,,
2287,0,0.73,-0.191995184,,
2403,0,0.73,-0.133683405,,
300289,0,0.73,-0.257744161,,
600285,0,0.73,-0.151756048,,
603416,0,0.73,-0.12966994,,
828,0,0.74,-0.146721376,,
2349,0,0.74,-0.135378992,,
2583,0,0.74,-0.259172373,,
2857,0,0.74,-0.220920606,,
300046,0,0.74,0.005252895,,
300485,0,0.74,-0.005730615,,
